,town,state_Abuja,state_Delta,state_Enugu,state_Kaduna,state_Lagos,state_Ogun,state_Oyo,state_Rivers,title,bedroom,parking_lot,bathroom,toilets,serviced,extras,Stable Electricity,bath_bedroom_combo
0,25,0,0,0,0,0,0,1,0,23,2,0,2,2,0,12,1,4
1,47,0,0,0,0,1,0,0,0,602,5,1,5,6,0,8,0,25
2,47,0,0,0,0,1,0,0,0,123,3,0,3,4,0,0,0,9
3,3,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,11,0,9
4,59,0,0,0,0,1,0,0,0,1714,3,0,3,4,0,0,0,9
5,59,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
6,47,0,0,0,0,1,0,0,0,591,5,0,5,5,0,0,0,25
7,47,0,0,0,0,1,0,0,0,715,2,0,2,3,1,0,0,4
8,47,0,0,0,0,1,0,0,0,508,2,0,1,2,0,0,0,2
9,47,0,0,0,0,1,0,0,0,10,2,0,2,3,1,0,0,4
10,47,0,0,0,0,1,0,0,0,1714,4,1,4,5,0,15,1,16
11,47,0,0,0,0,1,0,0,0,508,1,0,2,2,0,0,0,2
12,32,0,0,0,0,1,0,0,0,602,5,1,5,6,0,8,0,25
13,47,0,0,0,0,1,0,0,0,845,4,0,4,5,1,0,0,16
14,63,0,0,0,0,1,0,0,0,1714,4,1,4,4,0,8,0,16
15,3,0,0,0,0,1,0,0,0,1714,2,1,2,3,0,11,0,4
16,47,0,0,0,0,1,0,0,0,1714,2,1,1,2,0,15,0,2
17,47,0,0,0,0,1,0,0,0,591,4,0,4,5,0,0,0,16
18,50,1,0,0,0,0,0,0,0,61,3,0,4,4,0,0,0,12
19,32,0,0,0,0,1,0,0,0,1714,2,0,2,3,0,0,0,4
20,47,0,0,0,0,1,0,0,0,591,5,0,5,6,0,11,0,25
21,74,0,0,0,0,1,0,0,0,715,4,0,4,5,0,0,0,16
22,5,0,0,0,0,1,0,0,0,61,3,0,3,3,0,0,0,9
23,47,0,0,0,0,1,0,0,0,845,3,0,4,4,0,0,0,12
24,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,11,0,16
25,32,0,0,0,0,1,0,0,0,123,4,0,4,5,0,0,0,16
26,47,0,0,0,0,1,0,0,0,602,4,0,4,5,0,11,0,16
27,29,0,0,0,0,1,0,0,0,1714,3,1,3,4,0,8,0,9
28,47,0,0,0,0,1,0,0,0,715,2,0,2,3,0,0,0,4
29,47,0,0,0,0,1,0,0,0,1714,3,1,3,4,1,8,0,9
30,26,0,0,0,0,1,0,0,0,178,1,0,1,2,0,13,0,1
