bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
6,No,6,7,Ikoyi,Lagos,No,,No,Detached Duplex," ₦250,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦40,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦20,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦20,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦20,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦39,999,999/year"
2,No,2,3,Ikoyi,Lagos,No,,No,Flat Apartment," ₦34,999,999/year"
3,No,3,4,Victoria Island,Lagos,No,,No,Flat Apartment," $50,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦39,999,999/year"
5,No,5,6,Ikoyi,Lagos,No,,No,Detached Duplex," ₦249,999,999/year"
2,No,2,3,Ikoyi,Lagos,No,,No,Flat Apartment,w Ikoyi Lagos
4,No,4,5,Victoria Island,Lagos,No,,No,Penthouse Flat Apartment," ₦178,000,000/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦30,000,000/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Terraced Duplex," ₦29,999,999/year"
4,No,4,5,Ikoyi,Lagos,No,,No,Semi Detached Duplex," ₦29,999,999/year"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦75,000,000/year"
2,Yes,2,3,Lekki,Lagos,No,15,Yes,Flat Apartment," ₦8,000,000"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦20,000,000"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦35,000,000"
3,No,3,4,Ikoyi,Lagos,No,,No,Flat Apartment," ₦15,000,000"
4,Yes,5,5,Ikeja,Lagos,No,15,No,Detached Duplex," ₦15,000,000"
1,No,1,1,Shomolu,Lagos,No,,No,mini flat Self Contain Flat Apartment," ₦1,800,000"
,No,,,Ilupeju,Lagos,No,,No,," ₦600,000/year"
1,No,2,2,Ilupeju,Lagos,No,,No,mini flat Mini Flat Flat Apartment," ₦1,000,000/year"
,No,,,Yaba,Lagos,No,,No,," ₦600,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦60,000,000/year"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦25,000,000/year"
2,Yes,2,3,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦20,000,000/year"
4,Yes,4,5,Lekki,Lagos,No,8,Yes,Terraced Duplex," ₦6,500,000/year"
3,Yes,3,4,Lekki,Lagos,No,8,Yes,Flat Apartment," ₦13,000,000/year"
2,Yes,2,3,Lekki,Lagos,No,8,Yes,Flat Apartment," ₦10,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,," $50,000/year"
2,Yes,2,3,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦66,000,000/year"
3,Yes,3,4,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦84,000,000/year"
2,Yes,2,3,Lekki,Lagos,No,8,Yes,Flat Apartment," ₦8,000,000"
2,Yes,2,3,Lekki,Lagos,No,8,Yes,Flat Apartment," ₦10,000,000"
2,Yes,2,3,Lekki,Lagos,No,8,No,Flat Apartment," ₦15,000,000"
2,Yes,2,3,Lekki,Lagos,No,8,Yes,Flat Apartment," ₦10,000,000"
3,Yes,3,4,Lekki,Lagos,No,8,Yes,Massionette," ₦15,000,000/year"
4,Yes,4,5,Ikoyi,Lagos,No,8,Yes,Flat Apartment," ₦40,000,000/year"
3,No,3,4,Lekki,Lagos,No,11,No,Terraced Duplex," ₦7,500,000"
5,No,6,6,Maitama,Abuja,No,8,No,," $120,000/year"
