,bedroom,parking_lot,bathroom,toilets,town,state,serviced,extras,Stable Electricity,title,price
0,6.0,0,6.0,7,Ikoyi,Lagos,0,0.0,0,Detached Duplex,250000000.0
1,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,40000000.0
2,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,20000000.0
3,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,20000000.0
4,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,20000000.0
5,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,39999999.0
6,2.0,0,2.0,3,Ikoyi,Lagos,0,0.0,0,Flat Apartment,34999999.0
8,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,39999999.0
9,5.0,0,5.0,6,Ikoyi,Lagos,0,0.0,0,Detached Duplex,249999999.0
11,4.0,0,4.0,5,Victoria Island,Lagos,0,0.0,0,Penthouse Flat Apartment,178000000.0
12,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,30000000.0
13,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Terraced Duplex,29999999.0
14,4.0,0,4.0,5,Ikoyi,Lagos,0,0.0,0,Semi Detached Duplex,29999999.0
15,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,75000000.0
16,2.0,1,2.0,3,Lekki,Lagos,0,15.0,1,Flat Apartment,8000000.0
17,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,20000000.0
18,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,35000000.0
19,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,15000000.0
20,4.0,1,5.0,5,Ikeja,Lagos,0,15.0,0,Detached Duplex,15000000.0
21,1.0,0,1.0,1,Shomolu,Lagos,0,0.0,0,mini flat Self Contain Flat Apartment,1800000.0
23,1.0,0,2.0,2,Ilupeju,Lagos,0,0.0,0,Mini flat Apartment,1000000.0
25,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Flat Apartment,60000000.0
26,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,25000000.0
27,2.0,1,2.0,3,Ikoyi,Lagos,0,8.0,1,Flat Apartment,20000000.0
28,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,6500000.0
29,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Flat Apartment,13000000.0
30,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Flat Apartment,10000000.0
32,2.0,1,2.0,3,Ikoyi,Lagos,0,8.0,1,Flat Apartment,66000000.0
33,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,84000000.0
34,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Flat Apartment,8000000.0
35,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Flat Apartment,10000000.0
36,2.0,1,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,15000000.0
37,2.0,1,2.0,3,Lekki,Lagos,0,8.0,1,Flat Apartment,10000000.0
38,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Massionette,15000000.0
39,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,1,Flat Apartment,40000000.0
40,3.0,0,3.0,4,Lekki,Lagos,0,11.0,0,Terraced Duplex,7500000.0
42,4.0,0,5.0,5,Asokoro,Abuja,0,18.0,0,Detached Duplex,15000000.0
43,4.0,1,5.0,5,Guzape,Abuja,0,13.0,0,Terraced Duplex,15000000.0
44,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,6500000.0
47,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,8500000.0
48,3.0,1,3.0,4,Ikoyi,Lagos,0,8.0,1,Flat Apartment,25000000.0
49,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Flat Apartment,8500000.0
50,3.0,1,3.0,4,Lekki,Lagos,0,8.0,1,Flat Apartment,8500000.0
51,4.0,0,4.0,5,Ibadan,Oyo,0,0.0,0,Detached Duplex,7000000.0
55,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,7500000.0
56,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Self Contain Flat Apartment,45000000.0
57,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,9000000.0
58,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,5000000.0
59,2.0,0,2.0,3,Ikoyi,Lagos,1,0.0,0,Blocks Of Flats,35000000.0
60,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,9000000.0
61,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,5000000.0
62,2.0,0,2.0,3,Ikoyi,Lagos,1,0.0,0,Blocks Of Flats,35000000.0
64,2.0,0,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,12000000.0
65,3.0,0,3.0,4,Ikoyi,Lagos,1,15.0,1,Blocks Of Flats,40000000.0
66,4.0,0,4.0,5,Ibadan,Oyo,0,0.0,0,Terraced Duplex,6500000.0
68,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,8000000.0
69,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,9000000.0
70,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Detached Duplex,15000000.0
71,1.0,1,1.0,2,Ikoyi,Lagos,0,8.0,0,mini flat Self Contain Flat Apartment,12000000.0
72,4.0,0,4.0,5,Ikoyi,Lagos,1,12.0,1,Blocks Of Flats,90000000.0
73,2.0,0,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,12000000.0
74,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Flat Apartment,9500000.0
75,2.0,1,2.0,3,Ikoyi,Lagos,0,8.0,0,Flat Apartment,18000000.0
76,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,8000000.0
77,2.0,0,2.0,3,Ikoyi,Lagos,0,0.0,0,Self Contain Flat Apartment,13000000.0
78,4.0,0,4.0,5,Ikoyi,Lagos,1,15.0,1,Terraced Duplex,60000000.0
79,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,50000000.0
80,3.0,0,3.0,4,Ikoyi,Lagos,0,0.0,0,Flat Apartment,50000000.0
81,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Blocks Of Flats,11000000.0
82,1.0,0,1.0,1,Gbagada,Lagos,0,0.0,0,mini flat Self Contain Flat Apartment,2000000.0
83,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,8500000.0
84,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Terraced Duplex,6500000.0
85,2.0,1,2.0,3,Lekki,Lagos,0,15.0,0,Semi Detached Duplex,5000000.0
87,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Mini flat Apartment,2800000.0
88,1.0,1,1.0,2,Lekki,Lagos,0,15.0,0,Mini flat Apartment,5500000.0
89,1.0,0,1.0,1,Ikorodu,Lagos,0,0.0,0,Mini flat Apartment,250000.0
90,1.0,1,1.0,1,Lekki,Lagos,0,15.0,0,Mini flat Apartment,1600000.0
91,5.0,0,5.0,6,Lekki,Lagos,0,0.0,0,Detached Duplex,10000000.0
92,3.0,1,3.0,4,Lekki,Lagos,1,8.0,0,Massionette,12000000.0
94,2.0,0,2.0,3,Victoria Island,Lagos,0,0.0,0,Flat Apartment,7000000.0
98,2.0,0,2.0,2,Surulere,Lagos,0,0.0,0,Flat Apartment,1500000.0
99,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,22000000.0
100,2.0,0,1.0,2,Lekki,Lagos,0,0.0,0,Mini flat Apartment,5500000.0
102,4.0,1,5.0,5,Ikeja,Lagos,0,8.0,1,Semi Detached Duplex,40000000.0
103,2.0,0,1.0,2,Ibadan,Oyo,0,0.0,0,Flat Apartment,5500000.0
105,4.0,1,5.0,5,Ikeja,Lagos,0,15.0,1,Terraced Duplex,20000000.0
107,2.0,0,2.0,3,Ikorodu,Lagos,0,0.0,0,Flat Apartment,800000.0
108,2.0,0,2.0,3,Ajah,Lagos,0,0.0,0,Flat Apartment,2200000.0
109,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Terraced Duplex,5000000.0
111,4.0,0,4.0,5,Victoria Island,Lagos,0,15.0,1,Terraced Duplex,20000000.0
112,2.0,0,1.0,2,Ipaja,Lagos,0,0.0,0,Flat Apartment,800000.0
113,4.0,0,4.0,5,Lekki,Lagos,1,0.0,0,Terraced Duplex,22000000.0
126,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Detached Duplex,12000000.0
127,3.0,1,2.0,3,Lekki,Lagos,0,15.0,0,Flat Apartment,3500000.0
128,3.0,1,4.0,4,Maryland,Lagos,0,8.0,1,Flat Apartment,20000000.0
130,1.0,1,1.0,2,Lekki,Lagos,0,15.0,0,Mini flat Apartment,2600000.0
131,1.0,0,1.0,1,Ikorodu,Lagos,0,0.0,0,Mini flat Apartment,250000.0
132,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Flat Apartment,8000000.0
134,1.0,1,1.0,2,Lekki,Lagos,0,15.0,0,Mini flat Apartment,7500000.0
135,3.0,0,3.0,4,Victoria Island,Lagos,0,8.0,1,Blocks Of Flats,25000000.0
136,4.0,1,4.0,5,Lekki,Lagos,1,8.0,1,Terraced Duplex,35000000.0
138,1.0,0,2.0,2,Shomolu,Lagos,0,0.0,0,Mini flat Apartment,2000000.0
139,4.0,1,5.0,5,Maryland,Lagos,0,8.0,1,Terraced Duplex,16000000.0
140,2.0,0,2.0,3,Ikorodu,Lagos,0,0.0,0,Flat Apartment,650000.0
141,4.0,0,4.0,5,Ajah,Lagos,0,0.0,0,Semi Detached Duplex,7000000.0
142,3.0,0,3.0,4,Lekki,Lagos,0,0.0,0,Terraced Duplex,7000000.0
145,1.0,1,1.0,2,Lekki,Lagos,0,8.0,0,Mini flat Apartment,3000000.0
146,3.0,1,3.0,4,Lekki,Lagos,1,15.0,0,Flat Apartment,3000000.0
148,2.0,1,2.0,3,Lekki,Lagos,0,8.0,0,Flat Apartment,6300000.0
150,4.0,0,4.0,5,Lekki,Lagos,0,15.0,0,Semi Detached Duplex,7500000.0
151,4.0,1,5.0,5,Maryland,Lagos,0,15.0,1,Terraced Duplex,16000000.0
154,5.0,0,5.0,6,Lekki,Lagos,0,11.0,0,Detached Duplex,12000000.0
155,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Massionette,25000000.0
156,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Terraced Duplex,11000000.0
157,4.0,0,4.0,5,Ajah,Lagos,0,11.0,0,Semi Detached Duplex,7000000.0
159,4.0,1,4.0,5,Lekki,Lagos,0,8.0,1,Terraced Duplex,25000000.0
161,2.0,0,2.0,3,Lekki,Lagos,0,0.0,0,Terraced Duplex,18000000.0
163,4.0,0,4.0,5,Lekki,Lagos,0,0.0,0,Semi Detached Duplex,7000000.0
164,4.0,0,4.0,5,Lekki,Lagos,0,11.0,0,Semi Detached Duplex,8000000.0
166,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Terraced Duplex,9000000.0
167,4.0,1,4.0,5,Lekki,Lagos,0,8.0,0,Semi Detached Duplex,12000000.0
168,4.0,0,4.0,5,Ikoyi,Lagos,1,11.0,0,Terraced Duplex,35000000.0
169,4.0,1,4.0,5,Ikoyi,Lagos,0,8.0,0,Semi Detached Duplex,45000000.0
170,5.0,1,5.0,6,Lekki,Lagos,0,15.0,0,Detached Duplex,25000000.0
